Year-month;Works qnty
Unexisting date!;1
2020-05-12 00:00:00;88
2020-05-11 00:00:00;1
2020-05-08 00:00:00;32
2020-05-07 00:00:00;1
2020-05-04 00:00:00;2
2020-05-03 00:00:00;3
2020-05-02 00:00:00;9
2020-05-01 00:00:00;4
2020-04-30 00:00:00;2
2020-04-28 00:00:00;2
2020-04-27 00:00:00;3
2020-04-25 00:00:00;2
2020-04-24 00:00:00;4
2020-04-23 00:00:00;29
2020-04-22 00:00:00;4
2020-04-20 00:00:00;6
2020-04-17 00:00:00;4
2020-04-16 00:00:00;1
2020-04-15 00:00:00;5
2020-04-13 00:00:00;1
2020-04-11 00:00:00;3
2020-04-10 00:00:00;2
2020-04-08 00:00:00;6
2020-04-05 00:00:00;1
2020-04-03 00:00:00;1
2020-04-01 00:00:00;2
2020-03-30 00:00:00;3
2020-03-21 00:00:00;1
2020-03-19 00:00:00;1
2020-03-16 00:00:00;1
2020-03-15 00:00:00;1
2020-03-13 00:00:00;2
2020-03-12 00:00:00;2
2020-03-10 00:00:00;2
2020-03-08 00:00:00;1
2020-03-04 00:00:00;2
2020-03-03 00:00:00;1
2020-03-02 00:00:00;1
2020-03-01 00:00:00;5
2020-02-23 00:00:00;1
2020-02-20 00:00:00;1
2020-02-16 00:00:00;1
2020-02-12 00:00:00;1
2020-02-11 00:00:00;1
2020-02-10 00:00:00;1
2020-02-06 00:00:00;1
2020-02-04 00:00:00;1
2020-01-31 00:00:00;2
2020-01-28 00:00:00;1
2020-01-27 00:00:00;4
2020-01-17 00:00:00;1
2020-01-16 00:00:00;2
2020-01-15 00:00:00;1
2020-01-13 00:00:00;1
2020-01-11 00:00:00;1
2020-01-06 00:00:00;1
2019-12-25 00:00:00;1
2019-12-23 00:00:00;1
2019-12-22 00:00:00;1
2019-12-21 00:00:00;1
2019-12-20 00:00:00;1
2019-12-13 00:00:00;1
2019-12-12 00:00:00;2
2019-12-11 00:00:00;3
2019-12-08 00:00:00;1
2019-12-04 00:00:00;1
2019-11-24 00:00:00;1
2019-11-21 00:00:00;2
2019-11-20 00:00:00;1
2019-11-11 00:00:00;2
2019-11-02 00:00:00;4
2017-12-08 00:00:00;1
2015-05-22 00:00:00;1
